"cohort_month","month_number","jumlah_aktif","ukuran_cohort","retention_pct"
"2009-12-01",0,953,953,100.0
"2009-12-01",1,337,953,35.4
"2009-12-01",2,319,953,33.5
"2009-12-01",3,406,953,42.6
"2009-12-01",4,361,953,37.9
"2009-12-01",5,343,953,36.0
"2009-12-01",6,360,953,37.8
"2009-12-01",7,326,953,34.2
"2009-12-01",8,321,953,33.7
"2009-12-01",9,345,953,36.2
"2009-12-01",10,403,953,42.3
"2009-12-01",11,472,953,49.5
"2009-12-01",12,358,953,37.6
"2009-12-01",13,270,953,28.3
"2009-12-01",14,232,953,24.3
"2009-12-01",15,289,953,30.3
"2009-12-01",16,249,953,26.1
"2009-12-01",17,289,953,30.3
"2009-12-01",18,268,953,28.1
"2009-12-01",19,246,953,25.8
"2009-12-01",20,242,953,25.4
"2009-12-01",21,298,953,31.3
"2009-12-01",22,290,953,30.4
"2009-12-01",23,388,953,40.7
"2009-12-01",24,187,953,19.6
"2010-01-01",0,383,383,100.0
"2010-01-01",1,79,383,20.6
"2010-01-01",2,118,383,30.8
"2010-01-01",3,117,383,30.5
"2010-01-01",4,99,383,25.8
"2010-01-01",5,114,383,29.8
"2010-01-01",6,99,383,25.8
"2010-01-01",7,86,383,22.5
"2010-01-01",8,105,383,27.4
"2010-01-01",9,121,383,31.6
"2010-01-01",10,116,383,30.3
"2010-01-01",11,65,383,17.0
"2010-01-01",12,84,383,21.9
"2010-01-01",13,68,383,17.8
"2010-01-01",14,72,383,18.8
"2010-01-01",15,57,383,14.9
"2010-01-01",16,89,383,23.2
"2010-01-01",17,76,383,19.8
"2010-01-01",18,70,383,18.3
"2010-01-01",19,74,383,19.3
"2010-01-01",20,93,383,24.3
"2010-01-01",21,74,383,19.3
"2010-01-01",22,93,383,24.3
"2010-01-01",23,22,383,5.7
"2010-02-01",0,376,376,100.0
"2010-02-01",1,87,376,23.1
"2010-02-01",2,84,376,22.3
"2010-02-01",3,109,376,29.0
"2010-02-01",4,92,376,24.5
"2010-02-01",5,75,376,19.9
"2010-02-01",6,72,376,19.1
"2010-02-01",7,107,376,28.5
"2010-02-01",8,95,376,25.3
"2010-02-01",9,103,376,27.4
"2010-02-01",10,43,376,11.4
"2010-02-01",11,47,376,12.5
"2010-02-01",12,57,376,15.2
"2010-02-01",13,64,376,17.0
"2010-02-01",14,46,376,12.2
"2010-02-01",15,74,376,19.7
"2010-02-01",16,60,376,16.0
"2010-02-01",17,61,376,16.2
"2010-02-01",18,54,376,14.4
"2010-02-01",19,86,376,22.9
"2010-02-01",20,85,376,22.6
"2010-02-01",21,61,376,16.2
"2010-02-01",22,22,376,5.9
"2010-03-01",0,444,444,100.0
"2010-03-01",1,84,444,18.9
"2010-03-01",2,103,444,23.2
"2010-03-01",3,108,444,24.3
"2010-03-01",4,103,444,23.2
"2010-03-01",5,91,444,20.5
"2010-03-01",6,109,444,24.5
"2010-03-01",7,135,444,30.4
"2010-03-01",8,122,444,27.5
"2010-03-01",9,49,444,11.0
"2010-03-01",10,52,444,11.7
"2010-03-01",11,64,444,14.4
"2010-03-01",12,89,444,20.0
"2010-03-01",13,72,444,16.2
"2010-03-01",14,90,444,20.3
"2010-03-01",15,75,444,16.9
"2010-03-01",16,78,444,17.6
"2010-03-01",17,70,444,15.8
"2010-03-01",18,78,444,17.6
"2010-03-01",19,90,444,20.3
"2010-03-01",20,95,444,21.4
"2010-03-01",21,34,444,7.7
"2010-04-01",0,294,294,100.0
"2010-04-01",1,56,294,19.0
"2010-04-01",2,56,294,19.0
"2010-04-01",3,48,294,16.3
"2010-04-01",4,54,294,18.4
"2010-04-01",5,65,294,22.1
"2010-04-01",6,81,294,27.6
"2010-04-01",7,77,294,26.2
"2010-04-01",8,31,294,10.5
"2010-04-01",9,32,294,10.9
"2010-04-01",10,22,294,7.5
"2010-04-01",11,41,294,13.9
"2010-04-01",12,41,294,13.9
"2010-04-01",13,46,294,15.6
"2010-04-01",14,46,294,15.6
"2010-04-01",15,46,294,15.6
"2010-04-01",16,41,294,13.9
"2010-04-01",17,44,294,15.0
"2010-04-01",18,53,294,18.0
"2010-04-01",19,66,294,22.4
"2010-04-01",20,17,294,5.8
"2010-05-01",0,256,256,100.0
"2010-05-01",1,40,256,15.6
"2010-05-01",2,44,256,17.2
"2010-05-01",3,45,256,17.6
"2010-05-01",4,46,256,18.0
"2010-05-01",5,66,256,25.8
"2010-05-01",6,55,256,21.5
"2010-05-01",7,32,256,12.5
"2010-05-01",8,15,256,5.9
"2010-05-01",9,21,256,8.2
"2010-05-01",10,29,256,11.3
"2010-05-01",11,34,256,13.3
"2010-05-01",12,39,256,15.2
"2010-05-01",13,40,256,15.6
"2010-05-01",14,25,256,9.8
"2010-05-01",15,32,256,12.5
"2010-05-01",16,35,256,13.7
"2010-05-01",17,42,256,16.4
"2010-05-01",18,39,256,15.2
"2010-05-01",19,12,256,4.7
"2010-06-01",0,270,270,100.0
"2010-06-01",1,47,270,17.4
"2010-06-01",2,51,270,18.9
"2010-06-01",3,55,270,20.4
"2010-06-01",4,62,270,23.0
"2010-06-01",5,77,270,28.5
"2010-06-01",6,34,270,12.6
"2010-06-01",7,24,270,8.9
"2010-06-01",8,22,270,8.1
"2010-06-01",9,32,270,11.9
"2010-06-01",10,27,270,10.0
"2010-06-01",11,37,270,13.7
"2010-06-01",12,40,270,14.8
"2010-06-01",13,33,270,12.2
"2010-06-01",14,30,270,11.1
"2010-06-01",15,33,270,12.2
"2010-06-01",16,36,270,13.3
"2010-06-01",17,55,270,20.4
"2010-06-01",18,14,270,5.2
