"year_month","year","month","revenue","revenue_bulan_lalu","mom_growth_pct"
"2009-12",2009,12,800469.42,,
"2010-01",2010,1,636974.60,800469.42,-20.42
"2010-02",2010,2,542126.22,636974.60,-14.89
"2010-03",2010,3,816633.15,542126.22,50.64
"2010-04",2010,4,669976.10,816633.15,-17.96
"2010-05",2010,5,648773.09,669976.10,-3.16
"2010-06",2010,6,740561.89,648773.09,14.15
"2010-07",2010,7,638499.48,740561.89,-13.78
"2010-08",2010,8,685116.80,638499.48,7.30
"2010-09",2010,9,910361.41,685116.80,32.88
"2010-10",2010,10,1147302.01,910361.41,26.03
"2010-11",2010,11,1432733.63,1147302.01,24.88
"2010-12",2010,12,778195.21,1432733.63,-45.68
"2011-01",2011,1,670536.36,778195.21,-13.83
"2011-02",2011,2,509103.99,670536.36,-24.08
"2011-03",2011,3,698078.22,509103.99,37.12
"2011-04",2011,4,525608.16,698078.22,-24.71
"2011-05",2011,5,745257.56,525608.16,41.79
"2011-06",2011,6,742611.87,745257.56,-0.36
"2011-07",2011,7,699360.47,742611.87,-5.82
"2011-08",2011,8,727620.20,699360.47,4.04
"2011-09",2011,9,1034430.57,727620.20,42.17
"2011-10",2011,10,1124552.64,1034430.57,8.71
"2011-11",2011,11,1455428.40,1124552.64,29.42
"2011-12",2011,12,614937.35,1455428.40,-57.75
