"stock_code","description","total_revenue","total_qty"
"22423","REGENCY CAKESTAND 3 TIER",330590.32,26495
"85123A","WHITE HANGING HEART T-LIGHT HOLDER",257724.71,98208
"85099B","JUMBO BAG RED RETROSPOT",180569.34,96764
"23843","PAPER CRAFT , LITTLE BIRDIE",168469.60,80995
"47566","PARTY BUNTING",148318.28,28248
"84879","ASSORTED COLOUR BIRD ORNAMENT",129324.49,80090
"22086","PAPER CHAIN KIT 50'S CHRISTMAS",117760.29,35113
"23166","MEDIUM CERAMIC TOP STORAGE JAR",81700.92,78033
"79321","CHILLI LIGHTS",80540.88,15988
"22197","SMALL POPCORN HOLDER",79520.20,88993
